Avl, B, Rubro
228850, 1015797, 543527
230509, 1023209, 547557
232171, 1030603, 551523
233863, 1038045, 555584
235566, 1045500, 559580
237243, 1052920, 563721
238921, 1060372, 567764
240609, 1067918, 571924
242327, 1075498, 576034
244044, 1083161, 580236
245773, 1090695, 584399
247508, 1098271, 588634
249253, 1105947, 592834
251016, 1113686, 596992
252779, 1121484, 601246
254543, 1129244, 605595
256303, 1136964, 609896
258121, 1144813, 614165
259931, 1152684, 618399
261737, 1160553, 622654
263521, 1168461, 626946
265316, 1176318, 631221
267076, 1184196, 635586
268858, 1192080, 639951
270677, 1200006, 644260
272507, 1207978, 648628
274377, 1215927, 652999
276220, 1223971, 657460
278052, 1232021, 661843
279911, 1240062, 666314
281767, 1248178, 670776
283607, 1256343, 675329
285508, 1264520, 679794
287420, 1272742, 684344
289321, 1281018, 688926
291221, 1289311, 693486
293091, 1297599, 698055
294968, 1306004, 702647
296890, 1314324, 707279
298832, 1322744, 711867
300752, 1331117, 716458
302735, 1339592, 721108
304689, 1348061, 725809
306684, 1356600, 730524
308674, 1365094, 735171
310609, 1373630, 739877
312565, 1382231, 744609
314537, 1390869, 749422
316520, 1399419, 754198
318528, 1408061, 758857
320504, 1416834, 763633
322522, 1425482, 768433
324513, 1434162, 773185
326534, 1443019, 777967
328592, 1451770, 782843
330631, 1460565, 787694
332610, 1469367, 792616
334640, 1478259, 797574
336671, 1487149, 802544
338731, 1496086, 807436
340837, 1505078, 812318
342910, 1514235, 817414
344982, 1523238, 822449
347047, 1532313, 827468
349135, 1541363, 832538
351229, 1550478, 837497
353331, 1559612, 842519
355463, 1568839, 847685
357576, 1577961, 852803
359744, 1587236, 857891
361846, 1596480, 863080
363968, 1605734, 868190
366136, 1615014, 873194
368313, 1624295, 878349
370467, 1633639, 883522
372629, 1643012, 888700
374812, 1652484, 893888
376986, 1661888, 899108
379171, 1671445, 904473
381322, 1680961, 909731
383541, 1690445, 915004
385751, 1699965, 920311
388023, 1709503, 925634
390275, 1719058, 930980
392567, 1728729, 936382
394870, 1738442, 941709
397111, 1748091, 947085
399366, 1757813, 952480
401616, 1767503, 957866
403920, 1777255, 963337
406239, 1787054, 968734
408534, 1796805, 974116
410831, 1806703, 979630
413108, 1816653, 985080
415377, 1826606, 990515
417664, 1836546, 996203
419974, 1846541, 1001696
422246, 1856640, 1007181
424541, 1866561, 1012796
426861, 1876660, 1018452
429207, 1886894, 1024121
431623, 1896975, 1029765
433949, 1907097, 1035362
436315, 1917316, 1040967
438640, 1927458, 1046632
441057, 1937643, 1052495
443465, 1947921, 1058183
445843, 1958187, 1063953
448258, 1968642, 1069673
450661, 1978888, 1075446
453024, 1989260, 1081234
455399, 1999574, 1086975
457825, 2010067, 1092876
460247, 2020452, 1098744
462698, 2031118, 1104637
465134, 2041727, 1110576
467581, 2052225, 1116466
470065, 2062718, 1122254
472489, 2073314, 1128163
474865, 2083900, 1134155
477292, 2094611, 1140210
479772, 2105324, 1146240
482267, 2116103, 1152254
484724, 2126870, 1158248
487213, 2137561, 1164244
489691, 2148490, 1170342
492185, 2159239, 1176476
494693, 2170272, 1182499
497205, 2181085, 1188601
499757, 2191993, 1194611
502231, 2202976, 1200739
504743, 2213980, 1206844
507321, 2224891, 1213043
509889, 2235930, 1219249
512483, 2246853, 1225352
515067, 2258167, 1231534
517605, 2269293, 1237774
520192, 2280564, 1244044
522805, 2291756, 1250289
525399, 2303176, 1256547
528018, 2314572, 1262836
530642, 2325781, 1269219
533247, 2337261, 1275665
535863, 2348563, 1282091
538525, 2359879, 1288434
541198, 2371339, 1294767
543906, 2382847, 1301234
546588, 2394303, 1307567
549198, 2405970, 1314005
551900, 2417454, 1320427
554513, 2428928, 1326963
557196, 2440809, 1333456
559842, 2452447, 1339910
562499, 2464044, 1346382
565175, 2475685, 1352933
567927, 2487458, 1359403
570608, 2499201, 1365885
573281, 2511055, 1372444
576008, 2522751, 1379042
578775, 2534407, 1385537
581533, 2546420, 1392229
584247, 2558320, 1398839
586978, 2570333, 1405447
589684, 2582250, 1412129
592522, 2594156, 1418838
595253, 2606153, 1425542
598022, 2618289, 1432258
600787, 2630517, 1438998
603555, 2642590, 1445794
606412, 2654675, 1452574
609235, 2666891, 1459224
612024, 2679146, 1466175
614827, 2691440, 1472906
617673, 2703649, 1479802
620523, 2716216, 1486717
623326, 2728425, 1493417
626165, 2740743, 1500291
629004, 2753213, 1507233
631897, 2765740, 1514120
634810, 2778276, 1521093
637715, 2790786, 1528161
640558, 2803149, 1535129
643473, 2815772, 1542014
646333, 2828294, 1549040
649243, 2840804, 1556007
652125, 2853512, 1562969
655057, 2866247, 1570050
657963, 2879045, 1577244
660888, 2891876, 1584367
663788, 2904771, 1591466
666729, 2917525, 1598591
669688, 2930425, 1605637
672597, 2943421, 1612877
675591, 2956482, 1620075
678624, 2969477, 1627168
681577, 2982433, 1634198
684580, 2995170, 1641307
687573, 3008423, 1648557
690556, 3021618, 1655832
693619, 3034808, 1663037
696613, 3048056, 1670367
699593, 3061361, 1677702
702673, 3074486, 1684939
705715, 3087648, 1692219
708780, 3100831, 1699539
711831, 3114215, 1707064
714915, 3127591, 1714458
718013, 3140914, 1721807
720995, 3154207, 1729320
724060, 3167690, 1736968
727139, 3181038, 1744500
730308, 3194451, 1752001
733446, 3208000, 1759475
736610, 3221684, 1766951
739706, 3235122, 1774599
742864, 3248812, 1782158
746031, 3262259, 1789832
749197, 3276029, 1797298
752358, 3289561, 1804914
755476, 3303282, 1812505
758655, 3317028, 1820286
761777, 3330806, 1828121
764983, 3344605, 1835765
768146, 3358375, 1843380
771330, 3372371, 1851030
774452, 3386256, 1858666
777664, 3400155, 1866264
780945, 3414150, 1874047
784163, 3428220, 1881896
787342, 3442175, 1889711
790554, 3456193, 1897563
793812, 3470324, 1905415
