Avl, B, Rubro
1155, 8601, 7707 
1158, 8631, 7738 
1162, 8664, 7771 
1165, 8730, 7802 
1170, 8757, 7834 
1173, 8785, 7865 
1177, 8814, 7900 
1180, 8846, 7931 
1187, 8892, 7963 
1190, 8919, 7994 
1194, 8947, 8027 
1197, 8976, 8058 
1202, 9008, 8090 
1205, 9055, 8121 
1209, 9082, 8155 
1212, 9110, 8186 
1218, 9139, 8218 
1221, 9171, 8249 
1225, 9219, 8282 
1228, 9247, 8313 
1233, 9276, 8345 
1236, 9306, 8376 
1240, 9339, 8413 
1243, 9390, 8444 
1252, 9418, 8476 
1255, 9447, 8507 
1259, 9477, 8540 
1262, 9510, 8571 
1267, 9577, 8603 
1270, 9605, 8634 
1274, 9634, 8668 
1277, 9664, 8699 
1283, 9697, 8731 
1286, 9744, 8762 
1290, 9772, 8795 
1293, 9801, 8826 
1298, 9831, 8858 
1301, 9864, 8889 
1305, 9912, 8924 
1308, 9940, 8955 
1315, 9969, 8987 
1318, 9999, 9018 
1322, 10032, 9051 
1325, 10081, 9082 
1330, 10110, 9114 
1333, 10140, 9145 
1337, 10171, 9179 
1340, 10205, 9210 
1346, 10257, 9242 
1349, 10286, 9273 
1353, 10316, 9306 
1356, 10347, 9337 
1361, 10381, 9369 
1364, 10451, 9400 
1368, 10479, 9436 
1371, 10508, 9467 
1379, 10538, 9499 
1382, 10571, 9530 
1386, 10618, 9563 
1389, 10646, 9594 
1394, 10675, 9626 
1397, 10705, 9657 
1401, 10738, 9691 
1404, 10786, 9722 
1410, 10814, 9754 
1413, 10843, 9785 
1417, 10873, 9818 
1420, 10906, 9849 
1425, 10955, 9881 
1428, 10984, 9912 
1432, 11014, 9947 
1435, 11045, 9978 
1442, 11079, 10010 
1445, 11131, 10041 
1449, 11160, 10074 
1452, 11190, 10105 
1457, 11221, 10137 
1460, 11255, 10168 
1464, 11335, 10202 
1467, 11362, 10233 
1473, 11390, 10265 
1476, 11419, 10296 
1480, 11451, 10329 
1483, 11497, 10360 
1488, 11524, 10392 
1491, 11552, 10423 
1495, 11581, 10459 
1498, 11613, 10492 
1508, 11660, 10526 
1511, 11687, 10559 
1515, 11715, 10594 
1518, 11744, 10627 
1523, 11776, 10661 
1526, 11824, 10694 
1530, 11852, 10730 
1533, 11881, 10763 
1539, 11911, 10797 
1542, 11944, 10830 
1546, 11995, 10865 
1549, 12023, 10898 
1554, 12052, 10932 
1557, 12082, 10965 
